Symbol,Date,Metric,Value
AAPL,2016-02-11,High,94.720001
AAPL,2016-02-12,High,94.5
AAPL,2016-02-16,High,96.849998
AAPL,2016-02-17,High,98.209999
AAPL,2016-02-18,High,98.889999
AAPL,2016-02-19,High,96.760002
AAPL,2016-02-22,High,96.900002
AAPL,2016-02-23,High,96.5
AAPL,2016-02-24,High,96.379997
AAPL,2016-02-25,High,96.760002
AAPL,2016-02-26,High,98.019997
AAPL,2016-02-29,High,98.230003
AAPL,2016-03-01,High,100.769997
AAPL,2016-03-02,High,100.889999
AAPL,2016-03-03,High,101.709999
AAPL,2016-03-04,High,103.75
AAPL,2016-03-07,High,102.830002
AAPL,2016-03-08,High,101.760002
AAPL,2016-03-09,High,101.580002
AAPL,2016-03-10,High,102.239998
AAPL,2016-03-11,High,102.279999
AAPL,2016-03-14,High,102.910004
AAPL,2016-03-15,High,105.18
AAPL,2016-03-16,High,106.309998
AAPL,2016-03-17,High,106.470001
AAPL,2016-03-18,High,106.5
AAPL,2016-03-21,High,107.650002
AAPL,2016-03-22,High,107.290001
AAPL,2016-03-23,High,107.07
AAPL,2016-03-24,High,106.25
AAPL,2016-03-28,High,106.190002
AAPL,2016-03-29,High,107.790001
AAPL,2016-03-30,High,110.419998
AAPL,2016-03-31,High,109.900002
AAPL,2016-04-01,High,110.0
AAPL,2016-04-04,High,112.190002
AAPL,2016-04-05,High,110.730003
AAPL,2016-04-06,High,110.980003
AAPL,2016-04-07,High,110.419998
AAPL,2016-04-08,High,109.769997
AAPL,2016-04-11,High,110.610001
AAPL,2016-04-12,High,110.5
AAPL,2016-04-13,High,112.339996
