Date,AAPL,AMZN,GOOG,IBM
2015-03-02,129.25,380.850006,557.46228,161.940002
2015-03-03,128.960007,383.950012,567.327942,160.270004
2015-03-04,129.100006,385.709991,568.740173,160.539993
2015-03-05,128.580002,385.609985,571.872925,159.860001
2015-03-06,128.399994,385.519989,571.733704,160.190002
2015-03-09,127.959999,378.399994,563.757629,158.199997
2015-03-10,126.410004,377.450012,561.161926,159.600006
2015-03-11,124.75,370.609985,552.101746,158.570007
2015-03-12,122.309998,368.820007,550.480652,156.270004
2015-03-13,124.400002,371.519989,550.470703,157.460007
2015-03-16,123.879997,370.380005,547.934692,155.050003
2015-03-17,125.900002,371.109985,548.690552,156.199997
2015-03-18,127.0,369.970001,549.476196,156.850006
2015-03-19,128.75,373.869995,556.328491,159.699997
2015-03-20,128.25,376.290009,558.576111,160.949997
2015-03-23,127.120003,378.070007,557.362793,162.770004
2015-03-24,127.230003,373.98999,559.48114,164.789993
2015-03-25,126.540001,375.170013,567.377686,163.080002
2015-03-26,122.760002,369.589996,554.53833,159.270004
2015-03-27,124.57,367.109985,549.97345,160.789993
2015-03-30,124.050003,371.869995,548.601013,161.309998
2015-03-31,126.089996,373.23999,546.989868,161.080002
2015-04-01,124.82,372.100006,545.597534,160.229996
2015-04-02,125.029999,370.5,537.889954,159.520004
2015-04-06,124.470001,370.100006,529.30719,159.690002
2015-04-07,127.639999,376.149994,535.135132,161.669998
2015-04-08,125.849998,374.660004,535.433472,161.720001
2015-04-09,125.849998,380.660004,538.06897,161.699997
2015-04-10,125.949997,384.309998,539.322083,162.339996
2015-04-13,128.369995,383.529999,535.463318,162.369995
2015-04-14,127.0,383.51001,533.315125,162.419998
2015-04-15,126.410004,384.649994,525.808838,162.630005
2015-04-16,126.279999,383.690002,526.999878,163.309998
2015-04-17,125.550003,382.630005,525.766663,161.75
2015-04-20,125.57,378.549988,522.72345,162.100006
2015-04-21,128.100006,391.309998,534.570618,166.070007
2015-04-22,126.989998,391.910004,531.475281,164.389999
2015-04-23,128.300003,390.209991,538.039124,165.229996
2015-04-24,130.490005,439.0,563.00177,170.229996
2015-04-27,132.309998,443.859985,563.390015,170.889999
2015-04-28,134.460007,438.51001,554.640015,170.830002
2015-04-29,130.160004,426.75,550.469971,173.399994
2015-04-30,128.639999,427.109985,547.869995,173.770004
2015-05-01,126.099998,423.820007,538.429993,173.199997
2015-05-04,129.5,424.799988,538.530029,174.470001
2015-05-05,128.149994,422.850006,538.210022,173.509995
2015-05-06,126.559998,421.429993,531.23999,172.899994
2015-05-07,124.769997,424.149994,523.98999,169.630005
2015-05-08,126.68,430.75,536.650024,172.940002
2015-05-11,127.389999,432.51001,538.369995,172.649994
2015-05-12,125.599998,431.079987,531.599976,170.550003
2015-05-13,126.150002,429.980011,530.559998,171.240005
2015-05-14,127.410004,429.450012,533.77002,173.5
2015-05-15,129.070007,428.0,539.179993,173.910004
2015-05-18,128.380005,426.0,532.01001,173.440002
2015-05-19,130.690002,424.869995,533.97998,172.970001
2015-05-20,130.0,420.600006,538.48999,173.330002
2015-05-21,130.070007,428.0,537.950012,173.320007
2015-05-22,131.600006,431.549988,540.150024,173.039993
2015-05-26,132.600006,426.200012,538.119995,172.110001
2015-05-27,130.339996,427.450012,532.799988,171.160004
2015-05-28,131.860001,429.709991,538.01001,171.449997
2015-05-29,131.229996,427.230011,537.369995,171.350006
2015-06-01,130.279999,430.399994,536.789978,170.210007
2015-06-02,129.860001,430.070007,532.929993,169.660004
2015-06-03,130.660004,434.399994,539.909973,170.5
